Modello caricato su: cuda
Tempo di caricamento del modello YOLO: 1.225112 secondi
Processato il frame 1/919
Processato il frame 2/919
Processato il frame 3/919
Processato il frame 4/919
Processato il frame 5/919
Processato il frame 6/919
Processato il frame 7/919
Processato il frame 8/919
Processato il frame 9/919
Processato il frame 10/919
Processato il frame 11/919
Processato il frame 12/919
Processato il frame 13/919
Processato il frame 14/919
Processato il frame 15/919
Processato il frame 16/919
Processato il frame 17/919
Processato il frame 18/919
Processato il frame 19/919
Processato il frame 20/919
Processato il frame 21/919
Processato il frame 22/919
Processato il frame 23/919
Processato il frame 24/919
Processato il frame 25/919
Processato il frame 26/919
Processato il frame 27/919
Processato il frame 28/919
Processato il frame 29/919
Processato il frame 30/919
Processato il frame 31/919
Processato il frame 32/919
Processato il frame 33/919
Processato il frame 34/919
Processato il frame 35/919
Processato il frame 36/919
Processato il frame 37/919
Processato il frame 38/919
Processato il frame 39/919
Processato il frame 40/919
Processato il frame 41/919
Processato il frame 42/919
Processato il frame 43/919
Processato il frame 44/919
Processato il frame 45/919
Processato il frame 46/919
Processato il frame 47/919
Processato il frame 48/919
Processato il frame 49/919
Processato il frame 50/919
Processato il frame 51/919
Processato il frame 52/919
Processato il frame 53/919
Processato il frame 54/919
Processato il frame 55/919
Processato il frame 56/919
Processato il frame 57/919
Processato il frame 58/919
Processato il frame 59/919
Processato il frame 60/919
Processato il frame 61/919
Processato il frame 62/919
Processato il frame 63/919
Processato il frame 64/919
Processato il frame 65/919
Processato il frame 66/919
Processato il frame 67/919
Processato il frame 68/919
Processato il frame 69/919
Processato il frame 70/919
Processato il frame 71/919
Processato il frame 72/919
Processato il frame 73/919
Processato il frame 74/919
Processato il frame 75/919
Processato il frame 76/919
Processato il frame 77/919
Processato il frame 78/919
Processato il frame 79/919
Processato il frame 80/919
Processato il frame 81/919
Processato il frame 82/919
Processato il frame 83/919
Processato il frame 84/919
Processato il frame 85/919
Processato il frame 86/919
Processato il frame 87/919
Processato il frame 88/919
Processato il frame 89/919
Processato il frame 90/919
Processato il frame 91/919
Processato il frame 92/919
Processato il frame 93/919
Processato il frame 94/919
Processato il frame 95/919
Processato il frame 96/919
Processato il frame 97/919
Processato il frame 98/919
Processato il frame 99/919
Processato il frame 100/919
Processato il frame 101/919
Processato il frame 102/919
Processato il frame 103/919
Processato il frame 104/919
Processato il frame 105/919
Processato il frame 106/919
Processato il frame 107/919
Processato il frame 108/919
Processato il frame 109/919
Processato il frame 110/919
Processato il frame 111/919
Processato il frame 112/919
Processato il frame 113/919
Processato il frame 114/919
Processato il frame 115/919
Processato il frame 116/919
Processato il frame 117/919
Processato il frame 118/919
Processato il frame 119/919
Processato il frame 120/919
Processato il frame 121/919
Processato il frame 122/919
Processato il frame 123/919
Processato il frame 124/919
Processato il frame 125/919
Processato il frame 126/919
Processato il frame 127/919
Processato il frame 128/919
Processato il frame 129/919
Processato il frame 130/919
Processato il frame 131/919
Processato il frame 132/919
Processato il frame 133/919
Processato il frame 134/919
Processato il frame 135/919
Processato il frame 136/919
Processato il frame 137/919
Processato il frame 138/919
Processato il frame 139/919
Processato il frame 140/919
Processato il frame 141/919
Processato il frame 142/919
Processato il frame 143/919
Processato il frame 144/919
Processato il frame 145/919
Processato il frame 146/919
Processato il frame 147/919
Processato il frame 148/919
Processato il frame 149/919
Processato il frame 150/919
Processato il frame 151/919
Processato il frame 152/919
Processato il frame 153/919
Processato il frame 154/919
Processato il frame 155/919
Processato il frame 156/919
Processato il frame 157/919
Processato il frame 158/919
Processato il frame 159/919
Processato il frame 160/919
Processato il frame 161/919
Processato il frame 162/919
Processato il frame 163/919
Processato il frame 164/919
Processato il frame 165/919
Processato il frame 166/919
Processato il frame 167/919
Processato il frame 168/919
Processato il frame 169/919
Processato il frame 170/919
Processato il frame 171/919
Processato il frame 172/919
Processato il frame 173/919
Processato il frame 174/919
Processato il frame 175/919
Processato il frame 176/919
Processato il frame 177/919
Processato il frame 178/919
Processato il frame 179/919
Processato il frame 180/919
Processato il frame 181/919
Processato il frame 182/919
Processato il frame 183/919
Processato il frame 184/919
Processato il frame 185/919
Processato il frame 186/919
Processato il frame 187/919
Processato il frame 188/919
Processato il frame 189/919
Processato il frame 190/919
Processato il frame 191/919
Processato il frame 192/919
Processato il frame 193/919
Processato il frame 194/919
Processato il frame 195/919
Processato il frame 196/919
Processato il frame 197/919
Processato il frame 198/919
Processato il frame 199/919
Processato il frame 200/919
Processato il frame 201/919
Processato il frame 202/919
Processato il frame 203/919
Processato il frame 204/919
Processato il frame 205/919
Processato il frame 206/919
Processato il frame 207/919
Processato il frame 208/919
Processato il frame 209/919
Processato il frame 210/919
Processato il frame 211/919
Processato il frame 212/919
Processato il frame 213/919
Processato il frame 214/919
Processato il frame 215/919
Processato il frame 216/919
Processato il frame 217/919
Processato il frame 218/919
Processato il frame 219/919
Processato il frame 220/919
Processato il frame 221/919
Processato il frame 222/919
Processato il frame 223/919
Processato il frame 224/919
Processato il frame 225/919
Processato il frame 226/919
Processato il frame 227/919
Processato il frame 228/919
Processato il frame 229/919
Processato il frame 230/919
Processato il frame 231/919
Processato il frame 232/919
Processato il frame 233/919
Processato il frame 234/919
Processato il frame 235/919
Processato il frame 236/919
Processato il frame 237/919
Processato il frame 238/919
Processato il frame 239/919
Processato il frame 240/919
Processato il frame 241/919
Processato il frame 242/919
Processato il frame 243/919
Processato il frame 244/919
Processato il frame 245/919
Processato il frame 246/919
Processato il frame 247/919
Processato il frame 248/919
Processato il frame 249/919
Processato il frame 250/919
Processato il frame 251/919
Processato il frame 252/919
Processato il frame 253/919
Processato il frame 254/919
Processato il frame 255/919
Processato il frame 256/919
Processato il frame 257/919
Processato il frame 258/919
Processato il frame 259/919
Processato il frame 260/919
Processato il frame 261/919
Processato il frame 262/919
Processato il frame 263/919
Processato il frame 264/919
Processato il frame 265/919
Processato il frame 266/919
