Modello caricato su: cuda
Tempo di caricamento del modello YOLO: 3.477010 secondi
Processato il frame 1/900
Processato il frame 2/900
Processato il frame 3/900
Processato il frame 4/900
Processato il frame 5/900
Processato il frame 6/900
Processato il frame 7/900
Processato il frame 8/900
Processato il frame 9/900
Processato il frame 10/900
Processato il frame 11/900
Processato il frame 12/900
Processato il frame 13/900
Processato il frame 14/900
Processato il frame 15/900
Processato il frame 16/900
Processato il frame 17/900
Processato il frame 18/900
Processato il frame 19/900
Processato il frame 20/900
Processato il frame 21/900
Processato il frame 22/900
Processato il frame 23/900
Processato il frame 24/900
Processato il frame 25/900
Processato il frame 26/900
Processato il frame 27/900
Processato il frame 28/900
Processato il frame 29/900
Processato il frame 30/900
Processato il frame 31/900
Processato il frame 32/900
Processato il frame 33/900
Processato il frame 34/900
Processato il frame 35/900
Processato il frame 36/900
Processato il frame 37/900
Processato il frame 38/900
Processato il frame 39/900
Processato il frame 40/900
Processato il frame 41/900
Processato il frame 42/900
Processato il frame 43/900
Processato il frame 44/900
Processato il frame 45/900
Processato il frame 46/900
Processato il frame 47/900
Processato il frame 48/900
Processato il frame 49/900
Processato il frame 50/900
Processato il frame 51/900
Processato il frame 52/900
Processato il frame 53/900
Processato il frame 54/900
Processato il frame 55/900
Processato il frame 56/900
Processato il frame 57/900
Processato il frame 58/900
Processato il frame 59/900
Processato il frame 60/900
Processato il frame 61/900
Processato il frame 62/900
Processato il frame 63/900
Processato il frame 64/900
Processato il frame 65/900
Processato il frame 66/900
Processato il frame 67/900
Processato il frame 68/900
Processato il frame 69/900
Processato il frame 70/900
Processato il frame 71/900
Processato il frame 72/900
Processato il frame 73/900
Processato il frame 74/900
Processato il frame 75/900
Processato il frame 76/900
Processato il frame 77/900
Processato il frame 78/900
Processato il frame 79/900
Processato il frame 80/900
Processato il frame 81/900
Processato il frame 82/900
Processato il frame 83/900
Processato il frame 84/900
Processato il frame 85/900
Processato il frame 86/900
Processato il frame 87/900
Processato il frame 88/900
Processato il frame 89/900
Processato il frame 90/900
Processato il frame 91/900
Processato il frame 92/900
Processato il frame 93/900
Processato il frame 94/900
Processato il frame 95/900
Processato il frame 96/900
Processato il frame 97/900
Processato il frame 98/900
Processato il frame 99/900
Processato il frame 100/900
Processato il frame 101/900
Processato il frame 102/900
Processato il frame 103/900
Processato il frame 104/900
Processato il frame 105/900
Processato il frame 106/900
Processato il frame 107/900
Processato il frame 108/900
Processato il frame 109/900
Processato il frame 110/900
Processato il frame 111/900
Processato il frame 112/900
Processato il frame 113/900
Processato il frame 114/900
Processato il frame 115/900
Processato il frame 116/900
Processato il frame 117/900
Processato il frame 118/900
Processato il frame 119/900
Processato il frame 120/900
Processato il frame 121/900
Processato il frame 122/900
Processato il frame 123/900
Processato il frame 124/900
Processato il frame 125/900
Processato il frame 126/900
Processato il frame 127/900
Processato il frame 128/900
Processato il frame 129/900
Processato il frame 130/900
Processato il frame 131/900
Processato il frame 132/900
Processato il frame 133/900
Processato il frame 134/900
Processato il frame 135/900
Processato il frame 136/900
Processato il frame 137/900
Processato il frame 138/900
Processato il frame 139/900
Processato il frame 140/900
Processato il frame 141/900
Processato il frame 142/900
Processato il frame 143/900
Processato il frame 144/900
Processato il frame 145/900
Processato il frame 146/900
Processato il frame 147/900
Processato il frame 148/900
Processato il frame 149/900
Processato il frame 150/900
Processato il frame 151/900
Processato il frame 152/900
Processato il frame 153/900
Processato il frame 154/900
Processato il frame 155/900
Processato il frame 156/900
Processato il frame 157/900
Processato il frame 158/900
Processato il frame 159/900
Processato il frame 160/900
Processato il frame 161/900
Processato il frame 162/900
Processato il frame 163/900
Processato il frame 164/900
Processato il frame 165/900
Processato il frame 166/900
Processato il frame 167/900
Processato il frame 168/900
Processato il frame 169/900
Processato il frame 170/900
Processato il frame 171/900
Processato il frame 172/900
Processato il frame 173/900
Processato il frame 174/900
Processato il frame 175/900
Processato il frame 176/900
Processato il frame 177/900
Processato il frame 178/900
Processato il frame 179/900
Processato il frame 180/900
Processato il frame 181/900
Processato il frame 182/900
Processato il frame 183/900
Processato il frame 184/900
Processato il frame 185/900
Processato il frame 186/900
Processato il frame 187/900
Processato il frame 188/900
Processato il frame 189/900
Processato il frame 190/900
Processato il frame 191/900
Processato il frame 192/900
Processato il frame 193/900
Processato il frame 194/900
Processato il frame 195/900
Processato il frame 196/900
Processato il frame 197/900
Processato il frame 198/900
Processato il frame 199/900
Processato il frame 200/900
Processato il frame 201/900
Processato il frame 202/900
Processato il frame 203/900
Processato il frame 204/900
Processato il frame 205/900
Processato il frame 206/900
Processato il frame 207/900
Processato il frame 208/900
Processato il frame 209/900
Processato il frame 210/900
Processato il frame 211/900
Processato il frame 212/900
Processato il frame 213/900
Processato il frame 214/900
Processato il frame 215/900
Processato il frame 216/900
Processato il frame 217/900
Processato il frame 218/900
Processato il frame 219/900
Processato il frame 220/900
Processato il frame 221/900
Processato il frame 222/900
Processato il frame 223/900
Processato il frame 224/900
Processato il frame 225/900
Processato il frame 226/900
Processato il frame 227/900
Processato il frame 228/900
Processato il frame 229/900
Processato il frame 230/900
Processato il frame 231/900
Processato il frame 232/900
Processato il frame 233/900
Processato il frame 234/900
Processato il frame 235/900
Processato il frame 236/900
Processato il frame 237/900
Processato il frame 238/900
Processato il frame 239/900
Processato il frame 240/900
Processato il frame 241/900
Processato il frame 242/900
Processato il frame 243/900
Processato il frame 244/900
Processato il frame 245/900
Processato il frame 246/900
Processato il frame 247/900
Processato il frame 248/900
Processato il frame 249/900
Processato il frame 250/900
Processato il frame 251/900
Processato il frame 252/900
Processato il frame 253/900
Processato il frame 254/900
Processato il frame 255/900
Processato il frame 256/900
Processato il frame 257/900
Processato il frame 258/900
Processato il frame 259/900
Processato il frame 260/900
Processato il frame 261/900
Processato il frame 262/900
Processato il frame 263/900
Processato il frame 264/900
Processato il frame 265/900
Processato il frame 266/900
Processato il frame 267/900
Processato il frame 268/900
Processato il frame 269/900
Processato il frame 270/900
Processato il frame 271/900
Processato il frame 272/900
Processato il frame 273/900
Processato il frame 274/900
Processato il frame 275/900
Processato il frame 276/900
Processato il frame 277/900
Processato il frame 278/900
Processato il frame 279/900
Processato il frame 280/900
Processato il frame 281/900
Processato il frame 282/900
Processato il frame 283/900
Processato il frame 284/900
Processato il frame 285/900
Processato il frame 286/900
Processato il frame 287/900
Processato il frame 288/900
Processato il frame 289/900
Processato il frame 290/900
Processato il frame 291/900
Processato il frame 292/900
Processato il frame 293/900
Processato il frame 294/900
Processato il frame 295/900
Processato il frame 296/900
Processato il frame 297/900
Processato il frame 298/900
Processato il frame 299/900
Processato il frame 300/900
Processato il frame 301/900
Processato il frame 302/900
Processato il frame 303/900
Processato il frame 304/900
Processato il frame 305/900
Processato il frame 306/900
Processato il frame 307/900
Processato il frame 308/900
Processato il frame 309/900
Processato il frame 310/900
Processato il frame 311/900
Processato il frame 312/900
Processato il frame 313/900
Processato il frame 314/900
Processato il frame 315/900
Processato il frame 316/900
Processato il frame 317/900
Processato il frame 318/900
Processato il frame 319/900
Processato il frame 320/900
Processato il frame 321/900
Processato il frame 322/900
Processato il frame 323/900
Processato il frame 324/900
Processato il frame 325/900
Processato il frame 326/900
